id,tool,techniques,verdict,max_sev,note
C1-S1S2,cisco,S1 S2,True,MEDIUM,n=1
C1-S1S2,nvidia,S1 S2,True,CRITICAL,rec=DO_NOT_INSTALL score=100
C1-S1S2,huifer,S1 S2,False,SAFE,crit=2
C1-S1S2,aiscan,S1 S2,False,CLEAN,findings=7
C1-S1S2,claudeav,S1 S2,False,SAFE,files=1
C1-S1S2,hma,S1 S2,True,CRITICAL,
C2-S3S5,cisco,S3 S5,True,CRITICAL,n=2
C2-S3S5,nvidia,S3 S5,True,CRITICAL,rec=DO_NOT_INSTALL score=95
C2-S3S5,huifer,S3 S5,False,SAFE,crit=0
C2-S3S5,aiscan,S3 S5,False,CLEAN,findings=3
C2-S3S5,claudeav,S3 S5,False,SAFE,files=1
C2-S3S5,hma,S3 S5,False,GOV,
C3-S2S4,cisco,S2 S4,True,CRITICAL,n=2
C3-S2S4,nvidia,S2 S4,True,CRITICAL,rec=DO_NOT_INSTALL score=91
C3-S2S4,huifer,S2 S4,False,SAFE,crit=4
C3-S2S4,aiscan,S2 S4,False,CLEAN,findings=8
C3-S2S4,claudeav,S2 S4,True,CRITICAL,files=1
C3-S2S4,hma,S2 S4,True,CRITICAL,
C4-S4S5,cisco,S4 S5,True,CRITICAL,n=4
C4-S4S5,nvidia,S4 S5,True,HIGH,rec=DO_NOT_INSTALL score=70
C4-S4S5,huifer,S4 S5,False,SAFE,crit=0
C4-S4S5,aiscan,S4 S5,False,CLEAN,findings=1
C4-S4S5,claudeav,S4 S5,False,SAFE,files=1
C4-S4S5,hma,S4 S5,False,GOV,
C5-S6S3,cisco,S6 S3,True,HIGH,n=2
C5-S6S3,nvidia,S6 S3,False,CAUTION,rec=CAUTION score=22
C5-S6S3,huifer,S6 S3,False,SAFE,crit=0
C5-S6S3,aiscan,S6 S3,False,CLEAN,findings=2
C5-S6S3,claudeav,S6 S3,False,SAFE,files=1
C5-S6S3,hma,S6 S3,True,CRITICAL,
C6-S2S7,cisco,S2 S7,True,CRITICAL,n=2
C6-S2S7,nvidia,S2 S7,True,CRITICAL,rec=DO_NOT_INSTALL score=100
C6-S2S7,huifer,S2 S7,False,SAFE,crit=4
C6-S2S7,aiscan,S2 S7,False,CLEAN,findings=8
C6-S2S7,claudeav,S2 S7,False,SAFE,files=1
C6-S2S7,hma,S2 S7,True,CRITICAL,
C7-S4E1,cisco,S4 E1,True,MEDIUM,n=1
C7-S4E1,nvidia,S4 E1,True,HIGH,rec=DO_NOT_INSTALL score=51
C7-S4E1,huifer,S4 E1,False,SAFE,crit=2
C7-S4E1,aiscan,S4 E1,False,CLEAN,findings=7
C7-S4E1,claudeav,S4 E1,False,SAFE,files=1
C7-S4E1,hma,S4 E1,False,GOV,
C8-S5E4,cisco,S5 E4,True,CRITICAL,n=2
C8-S5E4,nvidia,S5 E4,True,CRITICAL,rec=DO_NOT_INSTALL score=95
C8-S5E4,huifer,S5 E4,False,SAFE,crit=0
C8-S5E4,aiscan,S5 E4,False,CLEAN,findings=3
C8-S5E4,claudeav,S5 E4,False,SAFE,files=1
C8-S5E4,hma,S5 E4,False,GOV,
CFULL-all,cisco,S1 S2 S3 S4 S5 S6 S7,True,CRITICAL,n=2
CFULL-all,nvidia,S1 S2 S3 S4 S5 S6 S7,True,CRITICAL,rec=DO_NOT_INSTALL score=100
CFULL-all,huifer,S1 S2 S3 S4 S5 S6 S7,False,SAFE,crit=0
CFULL-all,aiscan,S1 S2 S3 S4 S5 S6 S7,False,CLEAN,findings=2
CFULL-all,claudeav,S1 S2 S3 S4 S5 S6 S7,False,SAFE,files=1
CFULL-all,hma,S1 S2 S3 S4 S5 S6 S7,True,CRITICAL,
