skill,hash_prefix,status,source_dir
weather-lookup,794ec86e,unknown,B1-weather/SKILL.md
file-organizer,eb0c86f8,unknown,B2-fileorg/SKILL.md
commit-helper,442234eb,unknown,B3-commit/SKILL.md
workspace-bootstrap,6f39e394,unknown,C1-S1S2/SKILL.md
workspace-bootstrap,4a184a88,unknown,C2-S3S5/SKILL.md
workspace-bootstrap,f02a101b,unknown,C3-S2S4/SKILL.md
workspace-bootstrap,6c9e1d91,unknown,C4-S4S5/SKILL.md
workspace-bootstrap,4cea57ea,unknown,C5-S6S3/SKILL.md
workspace-bootstrap,b40adee8,unknown,C6-S2S7/SKILL.md
workspace-bootstrap,86c98ecd,unknown,C7-S4E1/SKILL.md
workspace-bootstrap,4a184a88,unknown,C8-S5E4/SKILL.md
workspace-bootstrap,0b529fc6,unknown,CFULL-all/SKILL.md
workspace-bootstrap,1d429fd3,unknown,S1-homoglyph/SKILL.md
S2-zerowidth,123f8efe,unknown,S2-zerowidth/SKILL.md
workspace-bootstrap,1d429fd3,unknown,S3-encoding/SKILL.md
workspace-bootstrap,5b71e367,unknown,S4-truncation/SKILL.md
workspace-bootstrap,9488b7bd,unknown,S5-filetype/SKILL.md
workspace-bootstrap,71132302,unknown,S6-mismatch/SKILL.md
workspace-bootstrap,4cce6207,unknown,S7-social/SKILL.md
workspace-bootstrap,1d429fd3,unknown,X0-plain/SKILL.md
